time,open,high,low,close,volume
2026-04-27 22:55:00,27407.0000,27407.7500,27386.2500,27395.2500,3629
2026-04-27 23:00:00,27395.2500,27399.7500,27388.7500,27392.5000,2116
2026-04-27 23:05:00,27393.5000,27403.7500,27390.0000,27400.7500,1878
2026-04-27 23:10:00,27400.7500,27411.0000,27400.5000,27408.7500,2008
2026-04-27 23:15:00,27408.2500,27417.5000,27405.5000,27412.5000,1568
2026-04-27 23:20:00,27412.5000,27416.5000,27410.0000,27412.2500,1121
2026-04-27 23:25:00,27412.5000,27422.5000,27411.2500,27419.5000,1430
2026-04-27 23:30:00,27420.2500,27428.5000,27419.7500,27424.0000,1367
2026-04-27 23:35:00,27424.5000,27427.7500,27420.0000,27425.5000,1018
2026-04-27 23:40:00,27425.2500,27426.7500,27420.7500,27421.5000,894
2026-04-27 23:45:00,27421.2500,27422.2500,27410.7500,27413.5000,2161
2026-04-27 23:50:00,27413.0000,27414.0000,27405.7500,27409.0000,1293
2026-04-27 23:55:00,27409.2500,27415.0000,27408.2500,27409.5000,623
2026-04-28 00:05:00,27412.0000,27414.7500,27411.2500,27413.7500,3393
2026-04-28 00:10:00,27412.5000,27428.2500,27411.0000,27424.0000,1854
2026-04-28 00:15:00,27424.5000,27430.5000,27422.0000,27425.0000,1346
2026-04-28 00:20:00,27424.2500,27429.7500,27423.5000,27427.7500,606
2026-04-28 00:25:00,27428.2500,27431.0000,27423.7500,27428.0000,794
2026-04-28 00:30:00,27427.2500,27438.2500,27426.2500,27435.7500,1650
2026-04-28 00:35:00,27436.7500,27438.0000,27430.7500,27433.2500,844
2026-04-28 00:40:00,27433.5000,27436.5000,27432.0000,27435.7500,448
2026-04-28 00:45:00,27435.2500,27439.5000,27432.0000,27432.5000,1134
2026-04-28 00:50:00,27432.0000,27433.5000,27423.0000,27425.2500,1361
2026-04-28 00:55:00,27424.7500,27435.2500,27415.0000,27417.2500,2403
2026-04-28 01:00:00,27418.0000,27423.5000,27408.7500,27411.2500,2003
2026-04-28 01:05:00,27411.2500,27414.0000,27395.2500,27398.2500,2578
2026-04-28 01:10:00,27399.0000,27399.0000,27372.7500,27387.2500,5424
2026-04-28 01:15:00,27387.0000,27389.0000,27375.0000,27384.7500,2056
2026-04-28 01:20:00,27384.7500,27399.2500,27383.7500,27393.7500,2232
2026-04-28 01:25:00,27393.7500,27398.0000,27391.0000,27392.0000,1078
2026-04-28 01:30:00,27392.7500,27392.7500,27375.2500,27376.7500,2303
2026-04-28 01:35:00,27377.0000,27377.7500,27350.2500,27367.5000,5837
2026-04-28 01:40:00,27367.7500,27380.0000,27361.0000,27371.2500,2708
2026-04-28 01:45:00,27370.5000,27371.2500,27359.2500,27362.2500,1635
2026-04-28 01:50:00,27363.2500,27372.7500,27353.2500,27370.0000,1662
2026-04-28 01:55:00,27371.2500,27374.0000,27359.2500,27363.2500,1556
2026-04-28 02:00:00,27363.2500,27371.2500,27354.2500,27362.2500,2241
2026-04-28 02:05:00,27362.0000,27376.0000,27360.5000,27375.5000,1665
2026-04-28 02:10:00,27376.0000,27378.2500,27365.2500,27371.2500,1089
2026-04-28 02:15:00,27371.7500,27373.7500,27360.0000,27367.7500,997
